client,desc,combined,market
A3 Communications,Misc MSI Opp,A3 Communications Misc MSI Opp,Datacom / Mission Critical / Tech
ABB,Modular data center partering,ABB Modular data center partering,Datacom / Mission Critical / Tech
ABB,Qualifications Package,ABB Qualifications Package,Datacom / Mission Critical / Tech
ACCUG,Fire Station #2 & Cooperative Extension Service Center,ACCUG Fire Station #2 & Cooperative Extension Service Center,Institutional / Gov Facilities
American Electric Power (AEP),"AEP Transmission Operations Center Cx – Corpus Christi, TX","American Electric Power (AEP) AEP Transmission Operations Center Cx – Corpus Christi, TX",Infrastructure / Transp. / Utility Co.
American Electric Power (AEP),Dolan IT Building Cx - Groveport OH,American Electric Power (AEP) Dolan IT Building Cx - Groveport OH,Infrastructure / Transp. / Utility Co.
American Electric Power (AEP),"Operating Procedures – Corpus Christi, TX","American Electric Power (AEP) Operating Procedures – Corpus Christi, TX",Infrastructure / Transp. / Utility Co.
American Electric Power (AEP),Training Services,American Electric Power (AEP) Training Services,Industrial / Controls / Energy
AFLAC,Facility improvements,AFLAC Facility improvements,Commercial / Misc Facilities
Aligned Energy,Salt Lake,Aligned Energy Salt Lake,Industrial / Controls / Energy
Allison Smith Co,Lunch n Learn on Controls,Allison Smith Co Lunch n Learn on Controls,Datacom / Mission Critical / Tech
Allison Smith Co,MSI Opportunities,Allison Smith Co MSI Opportunities,Datacom / Mission Critical / Tech
Amazon,Discovery,Amazon Discovery,Datacom / Mission Critical / Tech
Apple,TBD,Apple TBD,Datacom / Mission Critical / Tech
Ascent,Blackberry data center,Ascent Blackberry data center,Datacom / Mission Critical / Tech
AT&T,Potential work / intro through Beckerle,AT&T Potential work / intro through Beckerle,Datacom / Mission Critical / Tech
Atlanta International School,Boiler Assessment,Atlanta International School Boiler Assessment,Education
Atlanta International School,Water Source Heat Pump Design and Replacement Engineering Services,Atlanta International School Water Source Heat Pump Design and Replacement Engineering Services,Education
Atlanta Public Schools,Commissioning Services,Atlanta Public Schools Commissioning Services,Education
Balfour Beatty,Compass Data Centers – Commissioning Services - New Albany,Balfour Beatty Compass Data Centers – Commissioning Services - New Albany,Datacom / Mission Critical / Tech
Balfour Beatty,Compass Data Centers – Commissioning Services - Shakopee,Balfour Beatty Compass Data Centers – Commissioning Services - Shakopee,Datacom / Mission Critical / Tech
Bank of America,Energy Star Recertification,Bank of America Energy Star Recertification,Commercial / Misc Facilities
Bank of America,Energy Star Re-Certification ,Bank of America Energy Star Re-Certification ,Commercial / Misc Facilities
Batson Cook,Northside Hospital - Cherokee Cx Services,Batson Cook Northside Hospital - Cherokee Cx Services,Datacom / Mission Critical / Tech
BDR Partners,Piedmont – Fayette Hospital Renovation Cx,BDR Partners Piedmont – Fayette Hospital Renovation Cx,Healthcare
Becica Associates LLC,NJ Schools Development Authority – Limited Scope Project ,Becica Associates LLC NJ Schools Development Authority – Limited Scope Project ,Education
Behar Font & Partners,"Grove City Village, Miami, FL","Behar Font & Partners Grove City Village, Miami, FL",Lodging / Residential
Behar Font & Partners,Potential new architect partner. ,Behar Font & Partners Potential new architect partner. ,Commercial / Misc Facilities
Bennett & Pless,Introduction to John Stance - RPA,Bennett & Pless Introduction to John Stance - RPA,Industrial / Controls / Energy
Bennett & Pless,Introduction to Mindy at HKS,Bennett & Pless Introduction to Mindy at HKS,Industrial / Controls / Energy
Bennett & Pless,QTS reciprocation opportunity ,Bennett & Pless QTS reciprocation opportunity ,Datacom / Mission Critical / Tech
BKA, Savannah R-III School District,BKA  Savannah R-III School District,Education
BlackRock,50 Hudson Yards Cx,BlackRock 50 Hudson Yards Cx,Commercial / Misc Facilities
Bluewater Energy Solutions Inc.,"Alexandria, LA Gen Station -  3rd Party Electrical Testing Services","Bluewater Energy Solutions Inc. Alexandria, LA Gen Station -  3rd Party Electrical Testing Services",Industrial / Controls / Energy
Bluewater Energy Solutions Inc.,Bluewater - Garrison Delaware,Bluewater Energy Solutions Inc. Bluewater - Garrison Delaware,Industrial / Controls / Energy
Bluewater Energy Solutions Inc.,Cane Run Generating Station ,Bluewater Energy Solutions Inc. Cane Run Generating Station ,Industrial / Controls / Energy
Bluewater Energy Solutions Inc.,Eagle Valley IN Power Plant Testing,Bluewater Energy Solutions Inc. Eagle Valley IN Power Plant Testing,Industrial / Controls / Energy
Bluewater Energy Solutions Inc.,Indeck Wharton Energy Center,Bluewater Energy Solutions Inc. Indeck Wharton Energy Center,Industrial / Controls / Energy
Bluewater Energy Solutions Inc.,Morgan City LA Power Plant Testing,Bluewater Energy Solutions Inc. Morgan City LA Power Plant Testing,Industrial / Controls / Energy
Bluewater Energy Solutions Inc.,Pasadena Water and Power Repowering ,Bluewater Energy Solutions Inc. Pasadena Water and Power Repowering ,Industrial / Controls / Energy
Bluewater Energy Solutions Inc.,Pondera Power Plant 3rd Party Testing,Bluewater Energy Solutions Inc. Pondera Power Plant 3rd Party Testing,Industrial / Controls / Energy
BMW North America,Southern Regional Office,BMW North America Southern Regional Office,Commercial / Misc Facilities
Board of Regents,GA Southern - NOC Upgrades ,Board of Regents GA Southern - NOC Upgrades ,Datacom / Mission Critical / Tech
Bretco,Qualifications Package,Bretco Qualifications Package,Datacom / Mission Critical / Tech
Burns & McDonnell,Electrical Operator Training,Burns & McDonnell Electrical Operator Training,Industrial / Controls / Energy
Capital City,Bartow Malow Company / GICC Gateway Arena,Capital City Bartow Malow Company / GICC Gateway Arena,Cultural / Recreation / Sport
Capital City,Georgia Gwinnettt College ,Capital City Georgia Gwinnettt College ,Education
Capital City,Lunch n Learn on Controls,Capital City Lunch n Learn on Controls,Datacom / Mission Critical / Tech
Capital City,The Cooler - MSI Services,Capital City The Cooler - MSI Services,Cultural / Recreation / Sport
"Cassidy Turley Fiduciary, Inc.","19 E 57th Street NY, NY - Control System Speed Investigation","Cassidy Turley Fiduciary, Inc. 19 E 57th Street NY, NY - Control System Speed Investigation",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.","LVMH - 19 E 57th Street NY, NY - Control System Speed Investigation","Cassidy Turley Fiduciary, Inc. LVMH - 19 E 57th Street NY, NY - Control System Speed Investigation",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.","LVMH - 19 E 57th Street NY, NY - On Site Services","Cassidy Turley Fiduciary, Inc. LVMH - 19 E 57th Street NY, NY - On Site Services",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.",LVMH - BAS Audit Services,"Cassidy Turley Fiduciary, Inc. LVMH - BAS Audit Services",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.",LVMH - Consulting and Facilities Support - 19 East 57th,"Cassidy Turley Fiduciary, Inc. LVMH - Consulting and Facilities Support - 19 East 57th",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.",LVMH - Consulting and Facilities Support - 598 Madison,"Cassidy Turley Fiduciary, Inc. LVMH - Consulting and Facilities Support - 598 Madison",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.",LVMH - Consulting and Facilities Support - One East 57th,"Cassidy Turley Fiduciary, Inc. LVMH - Consulting and Facilities Support - One East 57th",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.","LVMH - Madison Ave NY, NY On Site Services","Cassidy Turley Fiduciary, Inc. LVMH - Madison Ave NY, NY On Site Services",Commercial / Misc Facilities
"Cassidy Turley Fiduciary, Inc.","LVMH - One E 57th Street NY, NY - On Site Services","Cassidy Turley Fiduciary, Inc. LVMH - One E 57th Street NY, NY - On Site Services",Commercial / Misc Facilities
CBRE,7000 Central Parkway ,CBRE 7000 Central Parkway ,Commercial / Misc Facilities
CBRE,ATL - Chiller Replacement,CBRE ATL - Chiller Replacement,Commercial / Misc Facilities
CBRE,GO UPS Battery Room Ventilation Design,CBRE GO UPS Battery Room Ventilation Design,Datacom / Mission Critical / Tech
CBRE,Piedmont Hospital - Technology Integration - NCI,CBRE Piedmont Hospital - Technology Integration - NCI,Healthcare
CBS,Trinidad Data Center,CBS Trinidad Data Center,Datacom / Mission Critical / Tech
CenturyLink,Introduction through ALC,CenturyLink Introduction through ALC,Datacom / Mission Critical / Tech
Chase,Site Inspection - 30k sqft building in Fayetteville,Chase Site Inspection - 30k sqft building in Fayetteville,Commercial / Misc Facilities
Circle Square Architects,GA DOT District Five Office ,Circle Square Architects GA DOT District Five Office ,Institutional / Gov Facilities
Circle Square Architects,Rockdale County Gym ,Circle Square Architects Rockdale County Gym ,Commercial / Misc Facilities
Circle Square Architects,TBD,Circle Square Architects TBD,Commercial / Misc Facilities
Citadel ,425 Park Project – Commissioning Services,Citadel  425 Park Project – Commissioning Services,Commercial / Misc Facilities
"Citigroup, Inc.",AHU controls upgrade,"Citigroup, Inc. AHU controls upgrade",Commercial / Misc Facilities
"Citigroup, Inc.",Atlanta - UPS replacement,"Citigroup, Inc. Atlanta - UPS replacement",Commercial / Misc Facilities
"Citigroup, Inc.","B1 - RTU Controls Installation - San Antonio, TX","Citigroup, Inc. B1 - RTU Controls Installation - San Antonio, TX",Commercial / Misc Facilities
"Citigroup, Inc.","B1 Chiller & Pumps Replacement – San Antonio, TX - CO","Citigroup, Inc. B1 Chiller & Pumps Replacement – San Antonio, TX - CO",Commercial / Misc Facilities
"Citigroup, Inc.","B1 Chiller Pumps Controls Replacement - San Antonio, TX","Citigroup, Inc. B1 Chiller Pumps Controls Replacement - San Antonio, TX",Commercial / Misc Facilities
"Citigroup, Inc.","B1 Cooling Tower CONTROLS Replacement – San Antonio, TX (AJ Monier)","Citigroup, Inc. B1 Cooling Tower CONTROLS Replacement – San Antonio, TX (AJ Monier)",Commercial / Misc Facilities
"Citigroup, Inc.","B1 Cooling Tower Replacement – San Antonio, TX - DESIGN AND CA","Citigroup, Inc. B1 Cooling Tower Replacement – San Antonio, TX - DESIGN AND CA",Commercial / Misc Facilities
"Citigroup, Inc.",B2 / B3 Chiller Upgrade Project - BAS RFP (A DISTECH PROJECT) - AJMonier,"Citigroup, Inc. B2 / B3 Chiller Upgrade Project - BAS RFP (A DISTECH PROJECT) - AJMonier",Commercial / Misc Facilities
"Citigroup, Inc.",B4 Chiller Cx,"Citigroup, Inc. B4 Chiller Cx",Commercial / Misc Facilities
"Citigroup, Inc.",B4 Chiller Cx,"Citigroup, Inc. B4 Chiller Cx",Commercial / Misc Facilities
"Citigroup, Inc.","BAS Cx - New Castle, DE","Citigroup, Inc. BAS Cx - New Castle, DE",Commercial / Misc Facilities
"Citigroup, Inc.","Campus Controls Optimization - San Antonio, TX","Citigroup, Inc. Campus Controls Optimization - San Antonio, TX",Commercial / Misc Facilities
"Citigroup, Inc.","MSI Implementation (Chicago) - Day 2 - Elk Grove, IL","Citigroup, Inc. MSI Implementation (Chicago) - Day 2 - Elk Grove, IL",Commercial / Misc Facilities
"Citigroup, Inc.","Chiller System Replacement - New Castle, DE","Citigroup, Inc. Chiller System Replacement - New Castle, DE",Commercial / Misc Facilities
"Citigroup, Inc.","Campus - Onsite Controls Technician Support - San Antonio, TX","Citigroup, Inc. Campus - Onsite Controls Technician Support - San Antonio, TX",Commercial / Misc Facilities
"Citigroup, Inc.","Controls Replacement 2019 - New Castle, DE","Citigroup, Inc. Controls Replacement 2019 - New Castle, DE",Commercial / Misc Facilities
"Citigroup, Inc.","Distech - Basic Annual Controls Service Agreement - San Antonio, TX","Citigroup, Inc. Distech - Basic Annual Controls Service Agreement - San Antonio, TX",Commercial / Misc Facilities
"Citigroup, Inc.",CRAH / Condenser Pump Replace B2 & B3 Design,"Citigroup, Inc. CRAH / Condenser Pump Replace B2 & B3 Design",Commercial / Misc Facilities
"Citigroup, Inc.",DFW Campus Controls Replacement 2019,"Citigroup, Inc. DFW Campus Controls Replacement 2019",Commercial / Misc Facilities
"Citigroup, Inc.","Electrical Design - New Castle, DE - Campus Generator","Citigroup, Inc. Electrical Design - New Castle, DE - Campus Generator",Commercial / Misc Facilities
"Citigroup, Inc.","Electrical Systems Cx - New Castle, DE","Citigroup, Inc. Electrical Systems Cx - New Castle, DE",Datacom / Mission Critical / Tech
"Citigroup, Inc.","Elk Grove, IL (Chicago) BAS Audit ","Citigroup, Inc. Elk Grove, IL (Chicago) BAS Audit ",Commercial / Misc Facilities
"Citigroup, Inc.","Elk Grove, IL (Chicago) BAS Fixes / MSI Implementation","Citigroup, Inc. Elk Grove, IL (Chicago) BAS Fixes / MSI Implementation",Commercial / Misc Facilities
"Citigroup, Inc.","HVAC Plant Cx - New Castle, DE","Citigroup, Inc. HVAC Plant Cx - New Castle, DE",Datacom / Mission Critical / Tech
"Citigroup, Inc.","New Castle, DE - OPSII - Energy Audit ","Citigroup, Inc. New Castle, DE - OPSII - Energy Audit ",Commercial / Misc Facilities
